ID,Unternehmen,Geschäftsführer,Branchen,Sitz,Anschrift: Straße,Anschrift: PLZ,Anschrift: City,Anschrift: Land,Stammkapital,Persönliche haftender Gesellschafter (Natürliche Person),Persönliche haftender Gesellschafter (Unternehmen),Leitende Direktoren,Liquidatoren,Gegenstand/Geschäftszweck
amtsgericht-koenigstein-im-taunus-hrb-6107,MLV Medizinische Logistik- und Verwaltungsgesellschaft mbH,Julius Baron,Logistics,"Kronberg im Taunus, DE",Parkstraße 28,61476,Kronberg im Taunus,DE,25000.00 EUR,,,,,Die Erbringung von Logistik- und Verwaltungstätigkeiten im medizinischen und medizinnahen Bereich.
amtsgericht-frankfurt-am-main-hrb-38254,Heinrich Lehr Spedition Gesellschaft mit beschränkter Haftung,,Logistics,"Frankfurt am Main, DE",Peter-Böhler-Str. 49,60431,Frankfurt am Main,DE,250000.00 DEM,,,,"Stefan Lehr, Andreas Lehr","Die Betätigung als Spediteur für Landtransporte und als Fuhrunternehmer sowie die Einrichtung, die Unterhaltung und der Betrieb von Lagerhäusern, um inländische und ausländische Ware in Obhut zu nehmen."
amtsgericht-mannheim-hrb-740676,SLS Logistik GmbH,"Lukasz Grzegorz Chrusciel, Simon Przemyslaw Glowazki",Logistics,"Mannheim, DE",Melchiorstraße 11,68167,Mannheim,DE,25000.00 EUR,,,,,"Der Gütertransport im Straßenverkehr, Umzugstransporte, Lagerei, Erbringungen von Dienstleistungen für den Verkehr, Sonstige Post-, Kurier- und Expressdienste. Handel, Instandhaltung und Reparatur von Kraftwagen, Handel mit Kraftwagenteilen und -zubehör; Handel, Instandhaltung und Reparatur von Krafträdern, Kraftradteilen und -zubehör. Handelsvermittlung; Großhandel mit Gebrauchs- und Verbrauchsgütern, Geräten der Informations- und Kommunikationstechnik, sonstigen Maschinen, Ausrüstungen und Zubehör, sonstiger Großhandel, Großhandel ohne ausgeprägten Schwerpunkt. Verkaufsraumeinzelhandel mit Waren verschiedener Art, Geräten der Informations- und Kommunikationstechnik, sonstigen Haushaltsgeräten, Textilien, Heimwerker- und Einrichtungsbedarf, Verlagsprodukten, Sportausrüstung und Spielwaren und sonstigen Gütern. Einzelhandel an Verkaufsständen und auf Märkten. Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen; Vermietung und Verpachtung von eigenen oder geleasten Grundstücken, Gebäuden und Wohnungen; Vermittlung und Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte."
amtsgericht-mannheim-hrb-702123,Beton- und Kies-Logistik Verwaltungs GmbH,"Erwin Kern, Thomas Karcher, Jürgen Loges",Logistics,"Iffezheim, DE",Badener Str. 10,76473,Iffezheim,DE,25000.00 EUR,,,,,"Die Beteiligung als persönlich haftende Gesellschafterin an der Kommanditgesellschaft in Firma BKL Beton- u. Kies-Logistik GmbH & Co. KG mit dem Sitz in Iffezheim, sowie der Führung der Geschäfte dieser Gesellschaft."
amtsgericht-frankfurt-am-main-hrb-34192,WST Wert-Schnell-Transport GmbH,Michael Böger,Logistics,"Frankfurt am Main, DE",Rüsterstraße 22,60325,Frankfurt am Main,DE,50000.00 DEM,,,,,Werttransporte und Transporte von Datenträgern mit Ausnahme genehmigungspflichtiger Transporte.
amtsgericht-mannheim-hrb-711222,PT-Logistics GmbH,Vitor Manuel de Abreu Morais,Logistics,"Mannheim, DE",Carl-Reuther-Str. 1,68305,Mannheim,DE,25000.00 EUR,,,,,Transport- und Entsorgungsdienstleistung.
amtsgericht-mannheim-hrb-362308,AK - Kastner GmbH Transport- und Baggerbetrieb,"Adolf Kastner, Andreas Kastner, Martin Kastner",Logistics,"Malsch, DE",Kelterstraße 17,76316,Malsch,DE,25000.00 EUR,,,,,"Die Durchführung von Transporten im gewerblichen Güterkraftverkehr, national und international. Desweiteren betreibt die Gesellschaft einen Baggerbetrieb und führt zugleich Erdbewegungen durch und befaßt sich mit dem Handel von Baustoffen. Landschaftsbau und Landschaftspflege gehören ebenfalls zum weiteren Gegenstand des Unternehmens. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art erwerben, vertreten oder sich an solchen Unternehmen beteiligen. Sie darf Zweigniederlassungen im In- und Ausland errichten."
amtsgericht-mannheim-hrb-9466,Schies Wertelogistik GmbH,Heinrich Schies,Logistics,"Mannheim, DE",Amselstr. 31 a,68307,Mannheim,DE,25000.00 EUR,,,,,Der Durchführung von Geldtransporten und Dienstleistungen im Zusammenhang mit Geld- und Warenautomanten einschließlich den damit zusammenhängenden Tätigkeiten.
amtsgericht-mannheim-hra-701132,RVM Kranlogistik GmbH & Co. KG,,Logistics,"Mannheim, DE",Dortmunder Straße 7 a,68219,Mannheim,DE,-,,RVM Verwaltungs GmbH,,,
amtsgericht-wetzlar-hrb-33843,Vranic Transport UG (haftungsbeschränkt),Zoran Vranic,Logistics,"Wiesbaden, DE",Erich-Ollenhauer-Straße 134,65199,Wiesbaden,DE,500.00 EUR,,,,,"der Betrieb eines Transportunternehmens sowie die Logistik mit Fahrzeugen bis zu 3,5 Tonnen und alle damit im Zusammenhang stehenden Geschäfte und soweit hierfür keine besonderen Genehmigungen erforderlich sind."
