ID,Unternehmen,Geschäftsführer,Branchen,Sitz,Anschrift: Straße,Anschrift: PLZ,Anschrift: City,Anschrift: Land,Stammkapital,Persönliche haftender Gesellschafter (Natürliche Person),Persönliche haftender Gesellschafter (Unternehmen),Leitende Direktoren,Liquidatoren,Gegenstand/Geschäftszweck
amtsgericht-offenbach-hrb-50441,Laser Line Logistics GmbH,Hans-Joachim Buchhold,Logistics,"Dreieich, DE",In der Luxhohl 5,63303,Dreieich,DE,25000.00 EUR,,,,,"Die Erbringung von Dienstleistungen, insbesondere für den Fracht- und Warenumschlag von Gütern aller Art sowie die Lagerverwaltung."
amtsgericht-mannheim-hrb-714580,SR Transport- und Handels AG,,Logistics,"Karlsruhe, DE",Koellestraße 13,76189,Karlsruhe,DE,60000.00 EUR,,,,,"Die Übernahme sämtlicher speditioneller Tätigkeiten, Lagerung und Verteilung. Die Gesellschaft befasst sich mit der Durchführung von Transporten im nationalen und internationalen Güterkraftverkehr. Das Vermieten von Fahrzeugen, Silos, Baugerätschaften und Containern gehört ebenfalls zu den Aufgaben der Gesellschaft, wie das Handeln mit Baustoffen."
amtsgericht-darmstadt-hrb-101476,PdP Logistik GmbH,Palagia Petrican,Logistics,"Raunheim, DE",Mainzer Straße 1,65479,Raunheim,DE,25000.00 EUR,,,,,Transport und Möbelaufbau.
amtsgericht-darmstadt-hrb-94257,Dietz Logistik 19. Grundbesitz GmbH,"Otis Lee Spencer, Katie Jane Schoultz, Adnane Zahrane",Logistics,"Bensheim, DE",Ulmenstraße 37-39,60325,Frankfurt am Main,DE,25000.00 EUR,,,,,"Gegenstand des Unternehmens ist der Erwerb, die Errichtung, die Verwaltung und Nutzung eigenen Grundbesitzes, insbesondere von Lagerhäusern, Logistikgebäuden, eigenen Kapitalvermögens sowie der Erwerb und die Errichtung von Beteiligungsgesellschaften."
amtsgericht-mannheim-hrb-722421,MTS Umzugs- und Transport GmbH,Dorota Karakaya,Logistics,"Mannheim, DE",Obere Riedstraße 77-79,68309,Mannheim,DE,26000.00 EUR,,,,,"Die Ausführung von Umzügen, Kurierdiensten im Nah- und Fernverkehr, Gütertransporten bis zu einem Gesamtgewicht von 7,5 Tonnen, Ausführung von Entrümpelungen und die Beseitigung von Sperrmüll, Handel mit gebrauchten Gegenständen des täglichen Bedarfs sowie die Ausführung von Hausmeistertätigkeiten und Hausobjektbetreuungen. Der Handel mit Kraftfahrzeugen, Kraftfahrzeugteilen, Kraftfahrzeug-Zubehör, gebrauchten und neuen Autoteilen sowie die Durchführung von Reifenmontageservice und Ölwechsel. TÜV und AU-Service durch einen TÜV/AU-Abnahme zugelassenen
Außendienst als Subunternehmer. Der Handel mit Getränken sowie der Betrieb einer lmbissstube zum Ausschank nicht-alkoholischer Getränke und zum Verkauf von kalten und warmen Speisen. Reinigungsarbeiten, Bauhandwerkliche Leistungen (Abbruch, Entkernung, Fertigbauteile, Trockenbau,
Systemmontage), Malerarbeiten, Garten- und Landschaftsbau, Hausmeistertätigkeiten."
amtsgericht-darmstadt-hrb-102570,My Transport UG (haftungsbeschränkt),Mazlum Coskun,Logistics,"Raunheim, DE",Niddastraße 5,65479,Raunheim,DE,1000.00 EUR,,,,,"Transport von Gütern jeglicher Art, von Paketen sowie Personen."
amtsgericht-mannheim-hrb-110110,Medien Logistik Pegasus GmbH,"Sabine Anne Marie Röser, Johannes Evaristo Röser, Annette Dorothea Röser-Letizky, Robert Aloys Benjamin Röser",Logistics,"Karlsruhe, DE",Fritz-Erler-Str. 25,76133,Karlsruhe,DE,125000.00 EUR,,,,,"Der Vertrieb von Medien jeder Art und Ausprägung und die damit verbundene logistische Abwicklung. Die Gesellschaft ist berechtigt, ihre Geschäfte im In- und Ausland zu betreiben, insbesondere Zweigniederlassungen zu errichten, sich an gleichartigen oder ähnlichen Unternehmen zu beteiligen, andere Unternehmen zu erwerben und alle sonstigen den Gesellschaftszweck fördernde Maßnahmen durchzuführen."
amtsgericht-mannheim-hrb-9797,LOGO Logistik - Gemeinschaft - Entsorgung GmbH,Hans-Peter Brauch,Logistics,"Mannheim, DE",Markircher Straße 17,68229,Mannheim,DE,25600.00 EUR,,,,,"Die bundesweite Entsorgung und die bundesweite Koordination, Abwicklung und zentrale Abrechnung der Entsorgung und Verwertung von Altöl entsprechend den geltenden gesetzlichen Regelungen als beauftragte Dritte der rücknahme- und verwertungspflichtigen Hersteller Vertreiber oder Anfallstellen sowie aller Stoffe, die dem abfallrechtlichen Regime unterliegen durch die Gesellschafter."
amtsgericht-mannheim-hrb-728116,M&H Spedition GmbH,Lukas Kotasek,Logistics,"Bühl, DE",Hurststraße 4,77815,Bühl,DE,25000.00 EUR,,,,,"Serviceleistungen im Logistikbereich, insbesondere Durchführung von Transporten, Überführungen von Kraftfahrzeugen, Lagerung von Transportgut und Vermittlung von Transportleistungen."
amtsgericht-darmstadt-hrb-86646,ontour transport service GmbH,Peter Koppermann,Logistics,"Raunheim, DE",Seinestraße 1,65479,Raunheim,DE,50000.00 EUR,,,,,"Das Speditionswesen, sowie weitere Dienstleistungen: Messerservice, Lager-Logistik, Zollservice."
amtsgericht-mannheim-hrb-717486,TBG Transportbeton Caprano Verwaltungs-GmbH,Ulrike Krieger,Logistics,"Heidelberg, DE",Berliner Straße 6,69120,Heidelberg,DE,25600.00 EUR,,,,,"Die Verwaltung und Geschäftsführung von Transportbetongesellschaften sowie die Beteiligung an solchen Unternehmen unter Übernahme der unbeschränkten Haftung. Die Gesellschaft ist berechtigt, andere ihr ähnliche Unternehmen zu erwerben oder sich an solchen zu beteiligen."
amtsgericht-mannheim-hrb-10015,TopTrans Transport und Logistik GMBH,"Andreas Bächtle, Michael Schulz",Logistics,"Mannheim, DE",Parkring 49a,68159,Mannheim,DE,25000.00 EUR,,,,,"Lagerung, Logistik, Spedition und alle im Zusammenhang damit verbundenen Serviceleistungen für Waren aller Art. Die Gesellschaft ist berechtigt, ähnliche mit dem Gegenstand der Gesellschaft zusammenhängende Geschäfte zu tätigen, soweit diese zur Erreichung des Gesellschaftszwecks als dienlich erscheinen oder geeignet sind, die Gesellschaft zu fördern. Die Gesellschaft führt die nach dem Güterkraftverkehrsgesetz genehmigungspflichtigen Transporte nur durch nach dem Güterkraftverkehrsgesetz befähigte Subunternehmer aus."
amtsgericht-offenbach-hrb-53494,FS Transport GmbH,Naveed Ahmad Malik,Logistics,"Dreieich, DE",Einsteinstraße 9,63303,Dreieich,DE,25000.00 EUR,,,,,"Durchführung von Transportaufträgen von Waren aller Art einschließlich Kurierdiensten, Zustellung von Postsendungen, Zeitungen und anderen Druckzeugnissen sowie Flyern."
amtsgericht-mannheim-hrb-715622,Synergies Logistiques Deutschland GmbH,Jirgi Bily,Logistics,"Mannheim, DE","O 3, 11+12",68161,Mannheim,DE,25000.00 EUR,,,,,"Die Vermittlung von nationalen und internationalen Gütertransporten, die Einlagerung und der Umschlag von Gütern sowie alle damit im Zusammenhang stehenden Tätigkeiten."
amtsgericht-landau-hrb-2863,Markus Magin Transport GmbH,Markus Magin,Logistics,"Gommersheim, DE",Röderstraße 48 A,67377,Gommersheim,DE,50000.00 DEM,,,,,"Die Durchführung von Transporten im Güternah- und Güterfernverkehr. Alle Rechtsgeschäfte und Maßnahmen, die mit dem Gesellschaftszweck in unmittelbarem bzw. mittelbarem Zusammenhang stehen und zu dessen Verwirklichung entweder notwendig oder nützlich erscheinen."
amtsgericht-mannheim-hrb-107058,Hoffmann Möbeltransport Spedition GmbH,Michael Rabold,Logistics,"Karlsruhe, DE",Daimlerstr. 23 a,76185,Karlsruhe,DE,50000.00 DEM,,,,,"Die Durchführung von Möbeltransporten, der Betrieb einer Spedition sowie die Lagerung von Möbeln. Die Gesellschaft ist berechtig, alle Tätigkeiten und Geschäfte auszuführen, die geeignet sind den Gesellschaftszweck zu fördern.

Die Gesellschaft darf andere Unternehmungen gleicher oder ähnlicher Art im In- und Ausland übernehmen, vertreten und sich an solchen Unternehmungen beteiligen. Sie darf auch Zweigniederlassungen errichten.
Die Gesellschaft ist auch befugt, sich mit anderen Firmen zu Arbeits- und Interessengemeinschaften zusammenzuschließen sowie Tochtergesellschaft zu gründen."
amtsgericht-mannheim-hrb-521109,Spedition Benk GmbH,Heinrich Willerscheid,Logistics,"Gaggenau, DE",Viktoriastraße 56,76571,Gaggenau,DE,100000.00 DEM,,,,,"Der Betrieb einer Spedition, einer Abfertigungsspedition, der Lagerhaltung sowie der Durchführung des Güternah- und -fernverkehrs.

Die Gesellschaft kann gleichartige, ähnliche oder einschlägige Unternehmen pachten, erwerben, sich an solchen beteiligen deren Geschäftsführung und Vertretung übernehmen sowie Zweigniederlassungen errichten. Sie kann Interessengemeinschaften und Organschaftsverhältnisse eingehen, wenn diese den Unternehmenszweck fördern. 

Die Gesellschaft kann sich dem Unternehmensgegenstand auch ausschließlich oder teilweise durch Betriebsvermögensverpachtung an gleichartige, ähnliche oder einschlägige Unternehmen oder ausschließlich durch Beteiligung an derartigen Unternehmen und Übernahme von deren Vertretung und Geschäftsführung widmen."
amtsgericht-mannheim-hrb-520663,Reinmuth Transport - und Baustoff-GmbH,"Heinz Reinmuth, Erich Reinmuth",Logistics,"Durmersheim, DE",Dieselstraße 3,76448,Durmersheim,DE,52000.00 EUR,,,,,"Die Durchführung von Transporten sowie der Handel mit Baustoffen jeder Art. Die Gesellschaft ist berechtigt, sämtliche in ihrer Branche gehörigen Dienstleistungen zu erbringen und Handelsgeschäfte abzuwickeln, andere Unternehmen gleicher oder ähnlicher Art zu erwerben oder sich an solchen zu beteiligen."
amtsgericht-mannheim-hrb-700261,Schultewolter Verwaltungs GmbH,Hubert Schultewolter,Logistics,"Mannheim, DE",Schützenstr. 10,68259,Mannheim,DE,25000.00 EUR,,,,,"Die Reparatur und der Handel mit Ersatzteilen für Mittel- und Großmotoren, insbesondere Kolbenverbrennungsmaschinen, sowie alle einschlägigen und artverwandten Geschäfte, der Erwerb von und die Beteiligung an solchen Betrieben sowie deren Verwaltung, ferner die Durchführung von Handels- und Transportgeschäften aller Art, insbesondere von Maschinenteilen."
amtsgericht-mannheim-hrb-8934,MTG Logistik GmbH Mannheim,"Uwe Bayer, Frank Brechtel",Logistics,"Mannheim, DE",Otto-Hahn-Str. 13,68169,Mannheim,DE,25000.00 EUR,,,,,"Die Durchfüihrung von nationalen und internationalen Speditionsgeschäften aller Art. Der Selbsteintritt des Spediteurs nach § 458 HGB ist ausgeschlossen, Lagerhaltung und Verwaltung, Kommisianierung, Gefahrgutlogjstik, Konfektionierung, Verpackungs- und Verladetätigkeit. Der Außen- und Binnenhandel für lndustrieanlagen aller Art. Die speditionelle und logistische Beratung von Industrieunternehmen. Die Entwicklung und Programmierung sowie der Vertrieb von Softwareprodukten für die Bereiche Spedition, Transport und Logistik."
amtsgericht-mannheim-hrb-737877,BTL GmbH,Norbert Heinrich,Logistics,"Baden-Baden, DE",Lange Straße 75,76530,Baden-Baden,DE,25000.00 EUR,,,,,"Gegenstand des Unternehmens ist der Transport von Gütern aller Art, Transportvermittlungen sowie die Erbringung sonstiger Logistikdienstleistungen."
amtsgericht-mannheim-hrb-712057,Hidir Daglioglu Transporte GmbH,Hidir Daglioglu,Logistics,"Mannheim, DE",Mundenheimer Str. 57,68219,Mannheim,DE,25000.00 EUR,,,,,Transporte im genehmigungsfreien und genehmigungspflichtigen Fernverkehr aller Art und alle hiermit in Zusammenhang stehenden Tätigkeiten.
amtsgericht-darmstadt-hrb-9293,Spedition Heinrich Schanz jr. GmbH,"Heinz Jürgen Schanz, Tobias Röske",Logistics,"Ober-Ramstadt, DE",Steinbruchweg 26,64372,Ober-Ramstadt,DE,101000.00 EUR,,,,,Der Betrieb einer Spedition sowie der Güternah- und Güterfernverkehr.
amtsgericht-darmstadt-hrb-100189,Air Logistics GmbH,Joao Pires Ramos,Logistics,"Raunheim, DE",Prime Parc 2a,65479,Raunheim,DE,225000.00 EUR,,,,,Verkaufsagentur für Fluggesellschaften
amtsgericht-darmstadt-hrb-100973,Like Transport MA GmbH,Iqbal Butt,Logistics,"Raunheim, DE",Werrastraße 6,65479,Raunheim,DE,50000.00 EUR,,,,,"Online-Handel mit Waren aller Art, insbesondere Schuhen und anderen Lederwaren, Bekleidung sowie der Transport mit eigenen und fremden Speditionen selbst gehandelter Ware sowie Transport von Waren Dritter wie z.B. Anazon und ebay im Großraum Mannheim"
amtsgericht-mannheim-hrb-736779,DLK international automotive logistics GmbH,"Onur Özbicerler, Ergün Özbicerler",Logistics,"Mannheim, DE","P 4, 1",68161,Mannheim,DE,25000.00 EUR,,,,,"Die europaweite Überführung, Aufbereitung und Auslieferungsvorbereitung von neuen und gebrauchten Fahrzeugen, insbesondere Omnibussen und Reisebussen und anderen Nutzfahrzeugen und Nebenleistungen an Automobilen und Nutzfahrzeugen."
amtsgericht-mannheim-hrb-728468,AT Transportgesellschaft mbH,Dimitrios Stergidis,Logistics,"Mannheim, DE",Hafenstraße 15,68159,Mannheim,DE,25000.00 EUR,,,,,"Kleintransporte bis 3,5 to, Auftragsvermittlung von Frachtaufträgen, gewerblicher Güterkraftverkehr, Transport von Wirbeltieren sowie Unternehmensberatung im Bereich der Buchhaltung und Lohnabrechnung."
amtsgericht-mannheim-hrb-4865,Mannheimer Transport-Gesellschaft Bayer GmbH,"Uwe Bayer, Frank Kurt Brechtel, Jens Bayer",Logistics,"Mannheim, DE",Otto-Hahn-Str. 13,68169,Mannheim,DE,100000.00 EUR,,,,,"Der Betrieb des Speditions-Transport- und Lagereigewerbes sowie die Ausführung aller damit im Zusammenhang stehenden oder ähnlichen Tätigkeiten, sowie der Handel mit gebrauchten Kraftfahrzeugen."
amtsgericht-darmstadt-hrb-104231,JUST RIDE LOGISTICS GmbH,Yazhu Bao-van der Zwam,Logistics,"Raunheim, DE",Am Prime-Parc 2A,65479,Raunheim,DE,25000.00 EUR,,,,,"Erbringung von Lagerbewirtschaftung, Speditions- und Logistikdienstleistungen sowie die Vermittlung, die Organisation und die Durchführung von Beförderungen, - national wie international, - sowie LKW-, Luft- und Seefracht, die nicht der Genehmigung nach dem GüKG bedürfen;


Internationaler Groß- und Einzelhandel einschließlich Import und Export sowie E-Commerce und Handelsvertretung von Produkten des täglichen Bedarfs, Haushaltsprodukten, Küchengeräten, Lebensmitteln, Kosmetik- und Schönheitsprodukten, Schmuck und Kleidung, Kinder- und Babyartikeln, Gartenbedarf, elektronischen Produkten und deren Zubehör, Maschinen und Maschinenteile, Autoteile und Ersatzteile sowie ähnliches, soweit genehmigungsfrei"
amtsgericht-mannheim-hra-706855,SRP intensiv-Transport GmbH & Co. KG,,Logistics,"Mannheim, DE",Besselstraße 25,68219,Mannheim,DE,-,,SRP Verwaltungs - GmbH,,,
amtsgericht-mannheim-hrb-729068,HerrCargo GmbH,Marco Josef Herr,Logistics,"Durmersheim, DE",Karlsruher Straße 15 a,76448,Durmersheim,DE,26000.00 EUR,,,,,"Die Durchführung von Transporten, Speditions- und Logistikdienstleistungen,Vermittlung von Frachten Werkstatt und Reparaturservice, Fahrzeugverkauf, Vermietung von Fahrzeugen, Hallen + Lagerflächen."
amtsgericht-landau-hrb-32089,Die Frachtidee Logistik GmbH,Dietmar Bittner,Logistics,"Landau in der Pfalz, DE",Hofgasse 6,76829,Landau in der Pfalz,DE,50000.00 DEM,,,,,"Durchführung und Vermittlung von Transporten aller Art sowie die Beratung und die Durchführung von Dienstleistungen im Transport-, Kommissionierungs-, Konfektionierungs- und Lagerbereich."
amtsgericht-darmstadt-hrb-103665,Tokish Logistics GmbH,Yasemin Arsal,Logistics,"Raunheim, DE",Werrastraße 6,65479,Raunheim,DE,25000.00 EUR,,,,,"Im- und Export sowie der Handel mit Waren verschiedener Art, insbesondere Haushalts- und Elektrowaren aller Art, sowie der Onlineverkauf von Bekleidung und Haushalts-, Küchen-, Elektro- und Sportartikeln, entweder im Großhandel oder Einzelhandel, innerhalb eines Landes oder zwischen Ländern, also als Binnenhandel oder Außenhandel sowie der Transport mit eigenen und fremden Speditionen selbst gehandelter Ware sowie Transport von Waren Dritter, wie z.B. Amazon und ebay weltweit."
amtsgericht-aschaffenburg-hrb-11589,CT Transport & Logistik GmbH,Roy Münzer,Logistics,"Großwallstadt, DE",Lützeltaler Straße 5c,63868,Großwallstadt,DE,30000.00 EUR,,,,,"die Durchführung von Transportaufträgen sowie deren Vermittlung, die Erbringung von Dispositions- und Beratungsleistungen in der Transportbranche sowie der Handel mit Fahrzeugen und Zubehör"
amtsgericht-mannheim-hrb-712805,AY Logistik GmbH,Arya Mahvi,Logistics,"Mannheim, DE","O 4, 4",68161,Mannheim,DE,25000.00 EUR,,,,,"Die Durchführung von Kurierdiensten und Kleintransporten, nationale und internationale Transporte, Tiefkühltransporte und Lagerung von Lebensmitteln, der Im- und Export von Lebensmitteln, Elektroartikeln, Werkzeugen, Textilien, Spielzeugen und Hausbedarf sowie alle damit im Zusammenhang stehdenen Dienst- und Servicearbeiten, sofern für alle diese Tätigkeiten keine Genehmigungen erforderlich sind."
amtsgericht-mannheim-hrb-718193,L & S Logistik & Service UG (haftungsbeschränkt),,Logistics,"Mannheim, DE",Boehringerstr. 16,68307,Mannheim,DE,500.00 EUR,,,,Wolfgang Eder,"Der Handel mit Schutzkleidung und Werkzeugen sowie der Handel, Verleih und die Annahme von Reparaturen von Bau- und Handwerksmaschinen und deren Zubehör, Logistikleistungen und Facilitymanagement."
amtsgericht-offenbach-hrb-51568,T&B Spedition UG (haftungsbeschränkt),Lucia Horotan,Logistics,"Dreieich, DE",Otto-Hahn-Str. 31 - 33,63303,Dreieich,DE,1000.00 EUR,,,,,"Erbringung von Transport-, Kurier- und Speditionsdienstleistungen bis zu 40 Tonnen, Trockenbau- m. Fliesenlegerarbeiten u. Parkettarbeiten"
amtsgericht-mannheim-hrb-727340,IQ Transport GmbH,Seif El Yazal Yassin Ashre,Logistics,"Mannheim, DE",Güterhallenstraße 14-16,68159,Mannheim,DE,700000.00 EUR,,,,,"Der nationale und internationale Güterkraftverkehr mit Fahrzeugen über 3,5 Tonnen, die Vermietung von und der Handel mit Nutzfahrzeugen sowie alle damit verbundenen Dienstleistungen."
amtsgericht-darmstadt-hrb-99100,DAX LOGISTIK GMBH,Ninoslav Ilic,Logistics,"Bischofsheim, DE",An der Steinlach 20,65474,Bischofsheim,DE,25000.00 EUR,,,,,Logistik und Transporte von Waren aller Art
amtsgericht-mannheim-hrb-727507,Transport Profis 24 GmbH,Neli Kiselkova,Logistics,"Mannheim, DE",Friesenheimer Straße 20,68169,Mannheim,DE,25000.00 EUR,,,,,Gütertransport und Kurierlogistik.
amtsgericht-mannheim-hrb-724312,U-BAU MRN UG (haftungsbeschränkt),Yunus Umuc,Logistics,"Mannheim, DE",Bellenstraße 16,68163,Mannheim,DE,20.00 EUR,,,,,"Maurer- und Betonbau, Vollwärmeschutz, Eisenflechten, Holz- und Bautenschutz, Einbau genormter Baufertigteile, Estrich- und Fliesenlegen, Garten- und Landschaftsbau, Winterdienst, Hausmeisterservice, Abbrucharbeiten, Demontage, Sortieren von Baumischabfall und Entsorgung, Trockenbau und Raumausstattung, Kleintransporte bis 3,5t."
amtsgericht-aschaffenburg-hrb-15274,S-M-R Logistik GmbH,Uwe Schandin,Logistics,"Aschaffenburg, DE",Ulmenweg 7,63741,Aschaffenburg,DE,25000.00 EUR,,,,,Transporte in Güternah- und Fernverkehr sowie der Abbruch und die Demontage von Maschinen und anderen Industrieanlagen.
amtsgericht-ludwigshafen-hrb-68135,MeLo Menrath Logistik GmbH,Marcel Michél Menrath,Logistics,"Römerberg, DE",Fahrweg 3,67354,Römerberg,DE,25000.00 EUR,,,,,"1. Die Erbringung folgender Dienstleistungen: 

a) Planung und Entwicklung von Logistikkonzepten,

b) Beratungstätigkeiten im Bereich der Unternehmensberatung im Transport-, Logistik-, Speditions-, Fuhrpark- und Werkstattwesen,

c) allgemeine Dienstleistungen im Speditions- und Transportgewerbe,

d) Durchführung von Transporten, Einlagerung, Kommissionierung und Umschlag von Waren und Gütern, 

e) Schulungsdienstleistungen im Transportgewerbe, 

2. Der An- und Verkauf sowie die Vermietung von Industriegütern, Fahrzeugen und Maschinen, 

3. Die Gesellschaft ist berechtigt, sich an anderen Unternehmen gleicher oder ähnlicher Art zu beteiligen oder diese zu erwerben. Sie darf Zweigniederlassungen errichten.

Die Tätigkeit der Gesellschaft erstreckt sich auf alle damit zusammenhängende Geschäfte sowie solche Geschäfte, die diesem Unternehmensgegenstand förderlich oder zweckdienlich sind."
amtsgericht-mannheim-hrb-701103,"BOL - Gesellschaft für Bauausführungen, Organisation und Logistik mbH","Klaus Baumann, Nihad Velic",Logistics,"Mannheim, DE",Steubenstr. 52,68163,Mannheim,DE,25000.00 EUR,,,,,"Die Durchführung von Bauplanung und Bauausführung, die Erstellung von schlüsselfertigen Bauten, die Erstellung von Neubauten und Umbauten, die Durchführung von Altbau-Sanierung und Reparaturarbeiten, die Montage und Sanierung von Bauwerksteilen und der Einbau von Fertigteilen sowie die Durchführung von Beton- und Stahlbetonarbeiten, die Ausführung von Fassadenbekleidungen, die Durchführung von Abdichtungen, Wärme-, Kälte- und Schallschutzdämmungen, die Errichtung von Estrichen, Bodenbelägen aus Steinen und Platten, die Durchführung von Innen- und Außenputzarbeiten, die Durchführung von Tiefbau sowie Bauwerks- und Grundstücksentwässerungen, die Errichtung von Trockenbauten, die Durchführung von Abbruch- und Stemmarbeiten sowie der Handel mit Baustoffen aller Art. Die Gesellschaft kann auch als Generalunternehmer auftreten und mit der Durchführung der oben genannten Arbeiten Subunternehmer beauftragen."
amtsgericht-darmstadt-hrb-100960,Go to Cargo GmbH,Jeffrey Gomes,Logistics,"Raunheim, DE",Kelsterbacher Straße 18a,65479,Raunheim,DE,25000.00 EUR,,,,,"Personalvermittlung an Dritte (Arbeitnehmerüberlassung) sowie die allgemeine Frachtabfertigung, insbesondere die Verpackungsdienstleistungen bei Speditionen und an Flughäfen (Logistikservice)."
amtsgericht-mannheim-hrb-738527,AGAY Transport & Logistik Gmbh,Mazlum Shikhalil,Logistics,"Mannheim, DE",Einsteinstraße 14,68169,Mannheim,DE,25000.00 EUR,,,,,"Verwaltung eigenen Vermögens, Handel mit Waren aller Art, insbesondere mit Lebensmitteln sowie die Erbringung von Logistikdienstleistungen aller Art, ferner der Betrieb eines Transportunternehmens im Güterfern- und nahverkehr sowie Abfertigungsspedition, des Weiteren erlaubnisfreier Kurierdienst mit Kfz und die Vermietung von Kraftfahrzeugen"
amtsgericht-aschaffenburg-hrb-14052,GBT Gefahrgut Beratung und Transport GmbH,Hugo Winkler,Logistics,"Alzenau, DE",Dettinger Straße 6,63755,Alzenau,DE,25000.00 EUR,,,,,"die Vermittlung und Ausführung von Gefahrguttransport, Beratung und Lagerhaltung sowie alle mit dem vorbezeichneten Gegenstand zusammenhängenden Dienstleistungen"
amtsgericht-hanau-hrb-96952,TROJA Logistik und Recycling GmbH,Murat Kücüksahin,Logistics,"Großkrotzenburg, DE",Lindenstraße 29,63538,Großkrotzenburg,DE,25000.00 EUR,,,,,Logistik von Abfallprodukten und recyclebaren Waren und Gütern aller Art
amtsgericht-mannheim-hra-711234,OD Transport GmbH & Co. KG,,Logistics,"Mannheim, DE",Neckarauer Straße 106-116,68163,Mannheim,DE,-,,G & O TSR GmbH,,,
amtsgericht-mannheim-hra-710823,Walter Umzüge und Logistik GmbH & Co. KG,,Logistics,"Mannheim, DE",Hafenstraße 15,68159,Mannheim,DE,-,,Walter Verwaltungs GmbH,,,
amtsgericht-mannheim-hrb-10103,G.V.S. Verwaltungsgesellschaft für die Verwertung von Sonderabfällen mbH,"Uwe Henninger, Jens Paßmann, Ralf Wegner",Logistics,"Mannheim, DE",Otto-Hahn-Strasse 50,68169,Mannheim,DE,27000.00 EUR,,,,,"Die Sammlung, Bearbeitung, der Transport und die Verwertung von Sonderabfällen und anderen Produktionsrückständen und -abfällen, deren Behandlung insbesondere durch Verbrennung oder thermische/stoffliche Verwertung, die Vermittlung derartiger Geschäfte sowie die Erprobung und Erforschung von Entsorgungsverfahren für Sonderabfälle, insbesondere von Verbrennungs- und/oder thermischen oder stofflichen Verwertungsmethoden sowie die Vermarktung der daraus gewonnenen Ergebnisse, der Bau und/ oder der Betrieb von Entsorgungsanlagen, insbesondere von Verbrennungs- und/oder thermischen oder stofflichen Verwertungsanlagen ."
amtsgericht-offenbach-hrb-53118,TGO Logistik Deutschland GmbH,"Norbert Schnier, Jens Meyer-Norbisrath",Logistics,"Langen (Hessen), DE",Frankfurter Straße 151 C,63303,Dreieich,DE,25000.00 EUR,,,,,"Vermittlung und Erbringung von Transport- und Logistikdienstleistungen aller Art in Verbindung mit nationalen und internationalen Transporten per Luft-, See- und Landfracht, Beschaffungs- und Distributionslogistik sowie Lager- und Kommissionierungslösungen für Kunden im In- und Ausland, auch mit eigenen / geleasten Fahrzeugen und in eigenen / gemieteten Immobilien"
amtsgericht-mainz-hrb-44578,AMF Logistics GmbH,Michael Larisika,Logistics,"Oppenheim, DE",Carl-Koch-Straße 3,55276,Oppenheim,DE,25000.00 EUR,,,,,"Der Handel (Import/Export, national und international), der Transport und die Logistik (national und international), Lagergeschäfte sowie IT- und alle allgemeinen Dienstleistungen zu den vorgenannten Gegenständen."
amtsgericht-offenbach-hrb-51975,MHK Logistik GmbH,"Olaf Hoppelshäuser, Stefan Scheuermann",Logistics,"Dreieich, DE",Hans-Strothoff-Platz 1,63303,Dreieich,DE,50000.00 EUR,,,,,"Betrieb eines Montageservicezentrums für Küchen, Möbel und Zubehör sowie die Erbringung von Dienstleistungen für Dritte im Bereich dieser Geschäftsgegenstände."
amtsgericht-mannheim-hrb-8086,Karius Transport GmbH,Peter Karius,Logistics,"Mannheim, DE",Kalthorstraße 4,68307,Mannheim,DE,25000.00 EUR,,,,,"Die Durchführung von Kleintransporten bis zu einem zulässigen Gesamtgewicht von 3,5 t einschließlich Anhänger, insbesondere der Lieferverkehr zwischen Herstellern und Großhändlern an Einzelhändler."
amtsgericht-mannheim-hrb-739131,GT-LOGISTICS GmbH,Anton Grimm,Logistics,"Limbach, DE",Fabrikstraße 1,74838,Limbach,DE,25000.00 EUR,,,,,Die Durchführung von Transporten aller Art sowie die Erbringung von Dienstleistungen im Bereich der Logistik.
amtsgericht-mannheim-hrb-723559,Novologistik GmbH Internationale Spedition,Elvis Ajkic,Logistics,"Mannheim, DE",Schwetzinger Str. 71,68165,Mannheim,DE,25000.00 EUR,,,,,Die Vermittlung von Frachten im Inland und internationalen Ausland sowie Zollabwicklung und Lagerhaltung.
amtsgericht-hanau-hrb-95518,M. Glock Logistik GmbH,Marcel Ulrich Glock,Logistics,"Nidderau, DE",Hainstraße 9,61130,Nidderau,DE,25000.00 EUR,,,,,"Durchführung von Transporten, insbesondere Schüttguttransporte sowie Transporte von Baumaschinen und Containern."
amtsgericht-aschaffenburg-hrb-13371,DS Smith Transport Services GmbH,Petra Lippertova,Logistics,"Aschaffenburg, DE",Weichertstraße 7,63741,Aschaffenburg,DE,25000.00 EUR,,,,,"die Beschaffung, Koordination und das Management aller Arten von Transporten von Wellpappenrohpapier, Verpackungen aus Wellpappe und Plastik sowie wiederverwertbarem Material"
amtsgericht-mannheim-hrb-729583,MARWAY Express Logistik GmbH,"Marek Roman Michalik, Bartlomiej Kuroski",Logistics,"Mannheim, DE",Carl-Reuther-Straße 1,68305,Mannheim,DE,25000.00 EUR,,,,,"Erbringung von erlaubnisfreien Dienstleistungen für den Transport, insbesondere Vermittlung und Spedition sowie Durchführung von Dienstleistungen jeglicher dem vorgenannten Geschäftszweck dienender Art."
